Campus,StudyField,Branch,Role,EduLevel,ProgLang,Databases,Platform,WebFramework,Industry,AISearch,AITool,Employment
Nelson Mandela Bay Campus,Computer Science,I am a developer by profession,"Developer, desktop or enterprise applications",Some college/university study without earning a degree,C;C#;Cobol;HTML/CSS;Java;Python;SQL,Microsoft SQL Server;Oracle,Unknown,ASP.NET,Healthcare,Unknown,Adrenaline;AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter;Whispr AI,"Employed, full-time"
Tyger Valley Campus,Data Science,I am a developer by profession,Unknown,Some college/university study without earning a degree,C;C++;Python,Unknown,Unknown,Django,Advertising Services,Unknown,Tabnine;Whispr AI,"Student, full-time"
Tyger Valley Campus,Data Science,I am learning to code,Unknown,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Assembly;Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;MATLAB;OCaml;PowerShell;Python;Rust,MongoDB;MySQL,Cloudflare;Fly.io;Heroku,Express;Node.js;React,Retail and Consumer Services,ChatGPT,Adrenaline;GitHub Copilot;Synk Code,"Student, full-time"
Umhlanga Campus,Data Science,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Microsoft SQL Server;MySQL;SQLite,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,AngularJS;ASP.NET;ASP.NET CORE;Blazor;FastAPI;jQuery;React;Vue.js;WordPress,Healthcare,ChatGPT;WolframAlpha,Mintlify;Tabnine,"Independent contractor, freelancer, or self-employed"
Umhlanga Campus,Computer Science,I am a developer by profession,"Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Java;JavaScript;Kotlin,BigQuery;Dynamodb;Elasticsearch;SQLite,Amazon Web Services (AWS);Google Cloud,Angular;jQuery;Node.js;Vue.js,"Information Services, IT, Software Development, or other Technology",ChatGPT,GitHub Copilot;Replit Ghostwriter;Whispr AI,"Employed, full-time;Independent contractor, freelancer, or self-employed"
Pretoria Campus,Computer Science,I am a developer by profession,"Developer, front-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",HTML/CSS;JavaScript;SQL;TypeScript,MySQL,Unknown,Angular,"Information Services, IT, Software Development, or other Technology",Bing AI;ChatGPT;Perplexity AI;Phind;You.com,GitHub Copilot;Synk Code;Tabnine,"Employed, full-time"
Nelson Mandela Bay Campus,Computer Science,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);JavaScript;Ruby;SQL,Elasticsearch;MySQL;Redis;SQLite,Amazon Web Services (AWS);Cloudflare,React;Ruby on Rails,Legal Services,Unknown,AWS CodeWhisperer;GitHub Copilot;Synk Code;Tabnine;Whispr AI,"Employed, full-time"
Umhlanga Campus,IT,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;TypeScript,PostgreSQL,Amazon Web Services (AWS),Node.js;React,Financial Services,Unknown,GitHub Copilot;Synk Code;Tabnine;Whispr AI,"Employed, full-time"
Nelson Mandela Bay Campus,Computer Science,I am a developer by profession,"Developer, front-end","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",C#;JavaScript;TypeScript,MySQL,Amazon Web Services (AWS);Firebase;Managed Hosting;VMware,ASP.NET;Next.js;React;WordPress,Wholesale,ChatGPT;You.com,AWS CodeWhisperer;Whispr AI,"Not employed, but looking for work"
Pretoria Campus,IT,I code primarily as a hobby,Unknown,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",C;HTML/CSS;JavaScript;PHP;Python,Unknown,Unknown,Node.js,"Manufacturing, Transportation, or Supply Chain",ChatGPT,AWS CodeWhisperer;GitHub Copilot;Mintlify,"Student, part-time"
Midrand Campus,Data Science,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python;SQL,Dynamodb;Elasticsearch;MongoDB;MySQL;PostgreSQL;Redis,Amazon Web Services (AWS),Django;FastAPI;Flask,Financial Services,Google Bard AI;Quora Poe,AWS CodeWhisperer;Synk Code;Whispr AI,"Employed, full-time"
Midrand Campus,IT,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Cloud infrastructure engineer,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C;C++;Haskell;HTML/CSS;JavaScript;Perl;Python;SQL,Dynamodb;MariaDB;MongoDB;PostgreSQL;Redis,Amazon Web Services (AWS);Digital Ocean;Microsoft Azure;OpenStack;OVH,Django;Laravel,Legal Services,Unknown,Adrenaline;AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter,"Employed, full-time"
Midrand Campus,IT,I am a developer by profession,"Developer, front-end","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Bash/Shell (all shells);HTML/CSS;JavaScript;TypeScript,Unknown,Amazon Web Services (AWS);Vercel,Express;Next.js;Node.js;React,Healthcare,ChatGPT,Synk Code;Tabnine;Whispr AI,"Employed, full-time"
Midrand Campus,Computer Science,I am learning to code,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",HTML/CSS;JavaScript,MongoDB,Amazon Web Services (AWS),Node.js;React,Legal Services,ChatGPT,AWS CodeWhisperer;Whispr AI,"Not employed, but looking for work"
Umhlanga Campus,IT,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",HTML/CSS;JavaScript,MongoDB;MySQL,Microsoft Azure,Angular;Express;Node.js;React,Retail and Consumer Services,Unknown,Replit Ghostwriter;Tabnine,"Employed, full-time"
Nelson Mandela Bay Campus,IT,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Java,Neo4J;Oracle,OpenShift,React,Wholesale,ChatGPT,AWS CodeWhisperer;Codeium;GitHub Copilot,"Employed, full-time"
Umhlanga Campus,Computer Science,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Java;SQL,Microsoft SQL Server;PostgreSQL;Redis,Google Cloud,Unknown,Retail and Consumer Services,ChatGPT;Phind,AWS CodeWhisperer;GitHub Copilot;Synk Code,"Employed, full-time"
Tyger Valley Campus,Computer Science,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Cloud infrastructure engineer,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript;Python;SQL;TypeScript,Dynamodb,Amazon Web Services (AWS),Unknown,Wholesale,Unknown,Codeium;Tabnine,"Employed, full-time"
Nelson Mandela Bay Campus,Computer Science,"I am not primarily a developer, but I write code sometimes as part of my work/studies","Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",HTML/CSS;JavaScript;PHP;TypeScript,MongoDB;MySQL;SQLite,Netlify;Vercel,Express;jQuery;NestJS;Node.js;React,Oil & Gas,ChatGPT,AWS CodeWhisperer;GitHub Copilot;Synk Code;Tabnine,"Employed, part-time"
Pretoria Campus,Data Science,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;HTML/CSS;JavaScript;Lua;PowerShell;SQL;TypeScript,MongoDB;SQLite,Amazon Web Services (AWS);Vercel,ASP.NET;ASP.NET CORE;Node.js;Nuxt.js;Vue.js,"Information Services, IT, Software Development, or other Technology",ChatGPT,Adrenaline;AWS CodeWhisperer;GitHub Copilot,"Independent contractor, freelancer, or self-employed;Not employed, and not looking for work"
Umhlanga Campus,Computer Science,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C#;Dart;HTML/CSS;JavaScript;TypeScript,Cloud Firestore;Firebase Realtime Database;MongoDB;PostgreSQL,Digital Ocean;Firebase;Google Cloud;Heroku,Angular;Blazor;Express;Node.js;React,Healthcare,ChatGPT;WolframAlpha,AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Tabnine;Whispr AI,"Employed, full-time"
Tyger Valley Campus,Computer Science,I code primarily as a hobby,Unknown,Primary/elementary school,C;C++,Unknown,Unknown,Unknown,Insurance,ChatGPT,AWS CodeWhisperer;Tabnine,"Not employed, and not looking for work"
Umhlanga Campus,Computer Science,I code primarily as a hobby,Unknown,Primary/elementary school,Dart;HTML/CSS;JavaScript;PHP;Python;SQL,MariaDB;MySQL;SQLite,Firebase;Google Cloud;Vercel,Django;Express;jQuery;Node.js,Oil & Gas,ChatGPT;WolframAlpha,Adrenaline;Tabnine,"Student, full-time"
Pretoria Campus,Data Science,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C;C#;C++;Dart;Groovy;PHP;Scala,BigQuery;Cassandra;Microsoft SQL Server;MySQL;SQLite,Amazon Web Services (AWS);OVH,Angular;Spring Boot,Oil & Gas,Unknown,Favorable,"Independent contractor, freelancer, or self-employed"
Pretoria Campus,Computer Science,I am a developer by profession,"Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Ada;C;C#;HTML/CSS;Java;JavaScript;MATLAB;PHP;Python;Ruby;SQL;TypeScript,MariaDB;MongoDB;MySQL;Oracle;SQLite,Fly.io;Heroku;Netlify;Vercel;VMware,Django;Express;FastAPI;jQuery;Node.js;React;Ruby on Rails;Spring Boot;Symfony,Healthcare,ChatGPT,Adrenaline;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI,"Employed, full-time"
Pretoria Campus,Computer Science,I am learning to code,Unknown,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",HTML/CSS;JavaScript;PHP;Python;SQL,MySQL,Unknown,jQuery,Financial Services,ChatGPT;You.com,AWS CodeWhisperer;GitHub Copilot,"Student, full-time"
Midrand Campus,IT,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Java;JavaScript;Python;TypeScript,MySQL,"Linode, now Akamai;Microsoft Azure",Node.js;React;Spring Boot,Retail and Consumer Services,ChatGPT,AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Tabnine;Whispr AI,"Employed, full-time"
Tyger Valley Campus,Data Science,I am learning to code,Unknown,Some college/university study without earning a degree,HTML/CSS;Java;JavaScript;SQL,MongoDB;MySQL,Cloudflare;Netlify;Render;Vercel,Express;Next.js;Node.js,Wholesale,ChatGPT,GitHub Copilot;Replit Ghostwriter;Tabnine,"Student, full-time"
Nelson Mandela Bay Campus,IT,I am a developer by profession,"Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",JavaScript;SQL;TypeScript,MariaDB;Microsoft SQL Server;MySQL;Supabase,Firebase;Netlify;Vercel,NestJS;Next.js;Node.js;React,Financial Services,ChatGPT,AWS CodeWhisperer;Codeium;GitHub Copilot;Replit Ghostwriter;Tabnine,"Independent contractor, freelancer, or self-employed"
Tyger Valley Campus,Computer Science,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript;Python;TypeScript,BigQuery;Cloud Firestore;Elasticsearch;MariaDB;MongoDB;MySQL;PostgreSQL;Redis,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud;Hetzner,Django;FastAPI;Next.js;React;Vue.js,Insurance,Unknown,AWS CodeWhisperer;Codeium;GitHub Copilot,"Employed, full-time"
Tyger Valley Campus,Data Science,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;HTML/CSS;JavaScript;PowerShell;TypeScript,Microsoft SQL Server,Microsoft Azure,Angular;ASP.NET CORE,Advertising Services,ChatGPT,Replit Ghostwriter;Tabnine,"Employed, full-time"
Umhlanga Campus,Data Science,I am learning to code,Unknown,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",HTML/CSS;JavaScript;TypeScript,MongoDB;MySQL;PostgreSQL;Redis,Unknown,Express;Next.js;Node.js;React,Oil & Gas,ChatGPT,GitHub Copilot,"Student, full-time"
Tyger Valley Campus,Computer Science,I am a developer by profession,"Developer, front-end","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",C#;JavaScript;TypeScript,Microsoft SQL Server;MongoDB;MySQL,Microsoft Azure,Vue.js,Insurance,Phind;You.com,Codeium;Replit Ghostwriter,"Employed, full-time"
Nelson Mandela Bay Campus,Data Science,"I am not primarily a developer, but I write code sometimes as part of my work/studies","Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);C#;HTML/CSS;JavaScript,Unknown,Netlify;Vercel,Next.js;Node.js;React;Svelte,"Manufacturing, Transportation, or Supply Chain",Bing AI;ChatGPT;Google Bard AI,Codeium;GitHub Copilot;Tabnine,"Not employed, but looking for work"
Umhlanga Campus,IT,"I am not primarily a developer, but I write code sometimes as part of my work/studies",System administrator,Some college/university study without earning a degree,HTML/CSS;PowerShell;Python;SQL,SQLite,Unknown,Unknown,Healthcare,Unknown,AWS CodeWhisperer;GitHub Copilot;Whispr AI,"Employed, full-time"
Umhlanga Campus,IT,I am a developer by profession,"Developer, full-stack",Some college/university study without earning a degree,JavaScript;PHP;SQL;TypeScript,MySQL;PostgreSQL;Supabase,Vercel,Angular;Express;Vue.js,Legal Services,Unknown,GitHub Copilot;Whispr AI,"Employed, full-time"
Tyger Valley Campus,Computer Science,I am a developer by profession,Database administrator,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Go;Perl;Python;SQL,InfluxDB;Microsoft SQL Server;Snowflake,Microsoft Azure,Unknown,Financial Services,Unknown,GitHub Copilot;Replit Ghostwriter;Whispr AI,"Employed, full-time"
Umhlanga Campus,Computer Science,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript;Python;TypeScript,MySQL;PostgreSQL,Amazon Web Services (AWS);Digital Ocean,Angular;Django;Express;Node.js;React,Healthcare,ChatGPT,AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Tabnine;Whispr AI,"Employed, full-time"
Pretoria Campus,IT,I am learning to code,Student,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C;C++;Python;Rust;SQL,MongoDB;MySQL;PostgreSQL,Unknown,Django,Oil & Gas,ChatGPT;WolframAlpha,GitHub Copilot;Replit Ghostwriter;Whispr AI,"Not employed, but looking for work;Student, full-time"
Tyger Valley Campus,Data Science,I code primarily as a hobby,"Developer, game or graphics",Some college/university study without earning a degree,JavaScript;Python;Rust;TypeScript,PostgreSQL;SQLite,Amazon Web Services (AWS);Google Cloud;Netlify,Deno;Express;Fastify;Node.js;Svelte,Insurance,Bing AI;ChatGPT,AWS CodeWhisperer;Rubber Duck.AI,"Independent contractor, freelancer, or self-employed;Not employed, but looking for work"
Midrand Campus,Computer Science,I am a developer by profession,Data scientist or machine learning specialist,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);HTML/CSS;JavaScript;Julia;Python;R;SQL;VBA,Cassandra;Elasticsearch;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;Redis;Snowflake;SQLite,Heroku;Microsoft Azure,Django;FastAPI;Flask,Financial Services,Bing AI;ChatGPT;Phind,Adrenaline;Mintlify;Rubber Duck.AI,"Employed, full-time"
Nelson Mandela Bay Campus,IT,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);HTML/CSS;JavaScript;SQL;TypeScript,Elasticsearch;MongoDB;PostgreSQL,Cloudflare;Google Cloud,Drupal;Express;Next.js;Node.js,Wholesale,ChatGPT,GitHub Copilot;Whispr AI,"Employed, full-time"
Pretoria Campus,Computer Science,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;HTML/CSS;Java;SQL,Microsoft SQL Server,Unknown,Blazor,Wholesale,Unknown,AWS CodeWhisperer;Mintlify,"Employed, full-time;Student, part-time"
Tyger Valley Campus,Data Science,I am a developer by profession,"Developer, full-stack","Associate degree (A.A., A.S., etc.)",HTML/CSS;JavaScript;PHP;SQL;TypeScript,Microsoft SQL Server;MongoDB;MySQL,Unknown,Angular;Django;Express;NestJS;Node.js,Legal Services,You.com,Codeium;Replit Ghostwriter,"Student, full-time;Employed, part-time"
Umhlanga Campus,Data Science,I code primarily as a hobby,Unknown,Primary/elementary school,C;C#;C++;Go;HTML/CSS;Java;JavaScript;Julia;Kotlin;Lisp;PHP;Python;Ruby;Rust;SQL,Firebase Realtime Database;MongoDB;MySQL,Firebase;Render,Express;Node.js,Wholesale,ChatGPT,AWS CodeWhisperer;GitHub Copilot;Synk Code;Tabnine,"Not employed, and not looking for work"
Umhlanga Campus,IT,I am a developer by profession,"Developer, full-stack",Some college/university study without earning a degree,JavaScript;Python,PostgreSQL;Redis,Amazon Web Services (AWS),Django;Node.js;React,"Information Services, IT, Software Development, or other Technology",Bing AI;ChatGPT,Synk Code;Tabnine;Whispr AI,"Employed, full-time"
Umhlanga Campus,Data Science,I am learning to code,Data scientist or machine learning specialist,"Associate degree (A.A., A.S., etc.)",C;JavaScript;Python,MariaDB;Microsoft Access;Microsoft SQL Server;MySQL;PostgreSQL;SQLite,Heroku,FastAPI;Flask,Legal Services,ChatGPT,AWS CodeWhisperer;Codeium;GitHub Copilot;Tabnine;Whispr AI,"Independent contractor, freelancer, or self-employed;Not employed, but looking for work;Student, full-time"
Nelson Mandela Bay Campus,Computer Science,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",HTML/CSS;Java;JavaScript;Python;TypeScript,Cloud Firestore;Firebase Realtime Database,Firebase;Google Cloud,Angular,Higher Education,ChatGPT,AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter;Tabnine,"Employed, full-time"
Midrand Campus,Data Science,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Student,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Bash/Shell (all shells);C;Haskell;HTML/CSS;Java;JavaScript;Prolog;Python;Rust;SQL,MySQL;SQLite,Unknown,Django;Flask;jQuery,Advertising Services,WolframAlpha,Adrenaline;AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter;Whispr AI,"Independent contractor, freelancer, or self-employed;Not employed, but looking for work;Student, full-time"
Umhlanga Campus,Data Science,I am a developer by profession,"Developer, front-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript,Unknown,Amazon Web Services (AWS),Next.js;React,Other,ChatGPT,GitHub Copilot;Mintlify;Replit Ghostwriter,"Employed, full-time"
Nelson Mandela Bay Campus,Data Science,I am a developer by profession,"Developer, back-end",Some college/university study without earning a degree,Bash/Shell (all shells);C#;Java;JavaScript;Python;SQL;TypeScript,Microsoft SQL Server;Oracle;PostgreSQL,Google Cloud,ASP.NET CORE,"Information Services, IT, Software Development, or other Technology",Unknown,GitHub Copilot;Replit Ghostwriter;Tabnine,"Employed, full-time;Independent contractor, freelancer, or self-employed;Student, part-time"
Midrand Campus,IT,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript,Microsoft SQL Server;PostgreSQL,Microsoft Azure,Angular;Spring Boot,Higher Education,ChatGPT,Rubber Duck.AI,"Employed, full-time"
